nInu 1458.33A
nFnu 1356.96A
nInu 1356.96A
nFnu 1297.29A
nInu 1297.29A
nFnu 1262.79A
nInu 1262.79A
nFnu 1218.08A
nInu 1218.08A
nFnu 1196.33A
nInu 1196.33A
nFnu 1175.06A
nInu 1175.06A
nFnu 1143.64A
nInu 1143.64A
nFnu 1113.22A
nInu 1113.22A
nFnu 1103.23A
nInu 1103.23A
nFnu 1073.86A
nInu 1073.86A
nFnu 1064.34A
nInu 1064.34A
nFnu 1035.92A
nInu 1035.92A
nFnu 1000.00A
nInu 1000.00A
nFnu 925.144A
nInu 925.144A
nFnu 897.800A
nFnu 760.023A
nInu 760.023A
nFnu 701.514A
nInu 701.514A
nFnu 608.160A
nInu 608.160A
nFnu 575.146A
nInu 575.146A
nFnu 511.948A
nInu 511.948A
nFnu 496.874A
nInu 496.874A
nFnu 399.153A
nInu 399.153A
H 1 911.753A
H 1 3647.01A
H 1 3647.01A
H 1 8205.78A
H 1 8205.78A
H 1 8205.78A
H 1 1.45881m
H 1 1.45881m
H 1 1.45881m
H 1 1.45881m
H 1 2.27938m
H 1 2.27938m
H 1 2.27938m
H 1 2.27938m
H 1 2.27938m
H 1 3.28231m
H 1 3.28231m
H 1 3.28231m
H 1 3.28231m
H 1 3.28231m
H 1 3.28231m
H 1 4.46759m
H 1 4.46759m
H 1 4.46759m
H 1 4.46759m
H 1 4.46759m
H 1 4.46759m
H 1 4.46759m
H 1 5.83522m
H 1 5.83522m
H 1 5.83522m
H 1 5.83522m
H 1 5.83522m
H 1 5.83522m
H 1 5.83522m
H 1 5.83522m
H 1 7.38520m
H 1 7.38520m
H 1 7.38520m
H 1 7.38520m
H 1 7.38520m
H 1 7.38520m
H 1 7.38520m
H 1 7.38520m
H 1 7.38520m
H 1 9.11753m
H 1 9.11753m
H 1 9.11753m
H 1 9.11753m
H 1 9.11753m
H 1 9.11753m
H 1 9.11753m
H 1 9.11753m
H 1 9.11753m
H 1 9.11753m
H 1 11.0322m
H 1 13.1292m
H 1 15.4086m
H 1 17.8704m
H 1 20.5145m
H 1 23.3409m
H 1 26.3497m
H 1 29.5408m
H 1 32.9143m
H 1 36.4701m
H 1 40.2083m
H 1 44.1289m
H 1 48.2318m
H 1 52.5170m
H 1 56.9846m
He 2 227.838A
He 2 911.351A
He 2 911.351A
He 2 2050.54A
He 2 2050.54A
He 2 2050.54A
He 2 3645.40A
He 2 3645.40A
He 2 3645.40A
He 2 3645.40A
He 2 5695.94A
He 2 5695.94A
He 2 5695.94A
He 2 5695.94A
He 2 5695.94A
He 2 8202.16A
He 2 8202.16A
He 2 8202.16A
He 2 8202.16A
He 2 8202.16A
He 2 8202.16A
He 2 1.11640m
He 2 1.11640m
He 2 1.11640m
He 2 1.11640m
He 2 1.11640m
He 2 1.11640m
He 2 1.11640m
He 2 1.45816m
He 2 1.45816m
He 2 1.45816m
He 2 1.45816m
He 2 1.45816m
He 2 1.45816m
He 2 1.45816m
He 2 1.45816m
He 2 1.84549m
He 2 1.84549m
He 2 1.84549m
He 2 1.84549m
He 2 1.84549m
He 2 1.84549m
He 2 1.84549m
He 2 1.84549m
He 2 1.84549m
He 2 2.27838m
He 2 2.27838m
He 2 2.27838m
He 2 2.27838m
He 2 2.27838m
He 2 2.27838m
He 2 2.27838m
He 2 2.27838m
He 2 2.27838m
He 2 2.27838m
He 2 2.75684m
He 2 3.28086m
He 2 3.85046m
He 2 4.46562m
He 2 5.12635m
He 2 5.83265m
He 2 6.58451m
He 2 7.38194m
He 2 8.22494m
He 2 9.11351m
He 2 10.0476m
He 2 11.0273m
He 2 12.0526m
He 2 13.1235m
He 2 14.2399m
Li 3 101.249A
Li 3 404.997A
Li 3 404.997A
Li 3 911.244A
Li 3 911.244A
Li 3 911.244A
Li 3 1619.99A
Li 3 1619.99A
Li 3 1619.99A
Li 3 1619.99A
Li 3 2531.23A
Li 3 2531.23A
Li 3 2531.23A
Li 3 2531.23A
Li 3 2531.23A
Li 3 3644.98A
Li 3 4961.22A
He 1 504.259A
He 1 2600.46A
He 1 3121.76A
He 1 3421.98A
He 1 3421.87A
He 1 3421.86A
He 1 3679.75A
He 1 6633.99A
He 1 7437.24A
He 1 7845.60A
He 1 8190.61A
He 1 8192.89A
He 1 8263.57A
He 1 1.24813m
He 1 1.35684m
He 1 1.40972m
He 1 1.45641m
He 1 1.45683m
He 1 1.45798m
He 1 1.45799m
He 1 1.46672m
He 1 2.01464m
He 1 2.15185m
He 1 2.21732m
He 1 2.27608m
He 1 2.27667m
He 1 2.27814m
He 1 2.27814m
He 1 2.27840m
He 1 2.27840m
He 1 2.28927m
He 1 2.96336m
